"word","part_of_speech","definition"
"jelo","mod","yellowy"
"jelo","noun","yellow"
"jelo","noun","light green"
"jo","mod","private"
"jo","mod","personal"
"jo","noun","having"
"jo","noun","possessions"
"jo","noun","content"
"jo","verb transitive","to have"
"jo","verb transitive","to contain"
"kala","mod","fish-"
"kala","noun","fish"
"kala","noun","marine animal"
"kala","noun","sea creature"
"kalama","mod","noisy"
"kalama","mod","loud"
"kalama","mod","rowdy"
"kalama","noun","sound"
"kalama","noun","noise"
"kalama","noun","voice"
"kalama","verb intransitive","to make noise"
"kalama","verb transitive","to sound"
"kalama","verb transitive","to ring"
"kalama","verb transitive","to play (an instrument)"
"kama","mod","coming"
"kama","mod","future"
"kama","noun","event"
"kama","noun","happening"
"kama","noun","chance"
"kama","noun","arrival"
"kama","noun","beginning"
"kama","verb intransitive","to come"
"kama","verb intransitive","to become"
"kama","verb intransitive","to arrive"
"kama","verb intransitive","to happen"
"kama","verb transitive","to bring about"
"kama","verb transitive","to summon"
"kasi","mod","vegetable"
"kasi","mod","vegetal"
"kasi","mod","biological"
"kasi","mod","biologic"
"kasi","mod","leafy"
"kasi","noun","plant"
"kasi","noun","vegetation"
"kasi","noun","herb"
"kasi","noun","leaf"
"kasi","verb intransitive","to grow"
"kasi","verb transitive","to plant"
"kasi","verb transitive","to grow"
"ken","noun","possibility"
"ken","noun","ability"
"ken","noun","power to do things"
"ken","noun","permission"
"ken","verb intransitive","can"
"ken","verb intransitive","is able to"
"ken","verb intransitive","is allowed to"
"ken","verb intransitive","may"
"ken","verb intransitive","is possible"
"ken","verb transitive","to make possible"
"ken","verb transitive","to enable"
"ken","verb transitive","to allow"
"ken","verb transitive","to permit"
"kepeken","noun","use"
"kepeken","noun","usage"
"kepeken","noun","tool"
"kepeken","preposition","with"
"kepeken","preposition","using"
"kepeken","verb intransitive","to use"
"kili","mod","fruity"
"kili","noun","fruit"
"kili","noun","pulpy vegetable"
"kili","noun","mushroom"
"kin","mod","indeed"
"kin","mod","still"
"kin","mod","too kin can be the very last word in an adjective group."
"kin","interjection","really"
"kin","noun","reality"
"kin","noun","fact"
"kipisi","noun","(unofficial): section"
"kipisi","noun","fragment"
"kipisi","noun","slice"
"kipisi","verb transitive","(unofficial): to cut"
"kiwen","mod","hard"
"kiwen","mod","solid"
"kiwen","mod","stone-like"
"kiwen","mod","made of stone or metal"
"kiwen","noun","hard thing"
"kiwen","noun","rock"
"kiwen","noun","stone"
"kiwen","noun","metal"
"kiwen","noun","mineral"
"kiwen","noun","clay"
"kiwen","verb transitive","to solidify"
"kiwen","verb transitive","to harden"
"kiwen","verb transitive","to petrify"
"kiwen","verb transitive","to fossilize"
"ko","noun","semi-solid or squishy substance"
"ko","noun","clay"
"ko","noun","dough"
"ko","noun","glue"
"ko","noun","paste"
"ko","noun","powder"
"ko","noun","gum"
"ko","verb transitive","to squash"
"ko","verb transitive","to pulverize"
"kon","mod","air-like"
"kon","mod","ethereal"
"kon","mod","gaseous"
"kon","noun","air"
"kon","noun","wind"
"kon","noun","smell"
"kon","noun","soul"
"kon","verb intransitive","to breathe"
"kon","verb transitive","to blow away something"
"kon","verb transitive","to puff away something"
"kule","mod","colourful"
"kule","mod","pigmented"
"kule","mod","painted"
"kule","noun","color"
"kule","noun","colour"
"kule","noun","paint"
"kule","noun","ink"
"kule","noun","dye"
"kule","noun","hue"
"kule","verb transitive","to paint"
"kule","verb transitive","to color"
"kulupu","mod","communal"
"kulupu","mod","shared"
"kulupu","mod","public"
"kulupu","mod","of the society"
"kulupu","noun","group"
"kulupu","noun","community"
"kulupu","noun","society"
"kulupu","noun","company"
"kulupu","noun","people"
"kulupu","verb transitive","to assemble"
"kulupu","verb transitive","to call together"
"kulupu","verb transitive","to convene"
"kute","mod","auditory"
"kute","mod","hearing"
"kute","noun","hearing"
"kute","noun","ear"
"kute","verb transitive","to hear"
"kute","verb transitive","to listen"
"la","particle","A 'la' is between a conditional phrases and the main sentence. A context phrase can be sentence, half sentence or noun. Don't use 'la' before or after the other separators 'e', 'li', 'pi', '.', '!', '?', ':', ','. "
"lape","mod","sleeping"
"lape","mod","of sleep"
"lape","mod","dormant"
"lape","noun","sleep"
"lape","noun","rest"
"lape","verb intransitive","to sleep"
"lape","verb intransitive","to rest"
"lape","verb transitive","to knock out"
"laso","mod","bluish"
"laso","mod","bluey"
"laso","noun","blue"
"laso","noun","blue-green"
"lawa","mod","main"
"lawa","mod","leading"
"lawa","mod","in charge"
"lawa","noun","head"
"lawa","noun","mind"
"lawa","verb transitive","to lead"
"lawa","verb transitive","to control"
"lawa","verb transitive","to rule"
"lawa","verb transitive","to steer"
"len","mod","dressed"
"len","mod","clothed"
"len","mod","costumed"
"len","mod","dressed up"
"len","noun","clothing"
"len","noun","cloth"
"len","noun","fabric"
"len","noun","network"
"len","noun","internet"
"len","verb transitive","to wear"
"len","verb transitive","to be dressed"
"len","verb transitive","to dress"
"lete","mod","cold"
"lete","mod","cool"
"lete","mod","uncooked"
"lete","mod","raw"
"lete","mod","perishing"
"lete","noun","cold"
"lete","noun","chill"
"lete","noun","bleakness"
"lete","verb transitive","to cool down"
"lete","verb transitive","to chill"
"li","particle","It separates the subject phrase, except 'mi' and 'sina', from the predicate phrase. Don't use 'li' before or after the other separators 'e', 'la', 'o', 'pi', '.', '!', '?', ':', ','. "
"lili","mod","small"
"lili","mod","little"
"lili","mod","young"
"lili","mod","a bit"
"lili","mod","short"
"lili","mod","few"
"lili","mod","less"
"lili","noun","smallness"
"lili","noun","youth"
"lili","noun","immaturity"
"lili","verb transitive","to reduce"
"lili","verb transitive","to shorten"
"lili","verb transitive","to shrink"
"lili","verb transitive","to lessen"
"linja","mod","elongated"
"linja","mod","oblong"
"linja","mod","long"
"linja","noun","long and flexible thing"
"linja","noun","string"
"linja","noun","rope"
"linja","noun","hair"
"linja","noun","thread"
"linja","noun","cord"
"linja","noun","chain"
"linja","noun","line"
"linja","noun","yarn"
"lipu","mod","book-"
"lipu","mod","paper-"
"lipu","mod","card-"
"lipu","mod","ticket-"
"lipu","mod","sheet-"
"lipu","mod","page-"
"lipu","noun","paper"
"lipu","noun","book"
"lipu","noun","card"
"lipu","noun","ticket"
"lipu","noun","sheet"
"lipu","noun","(web-)page"
"lipu","noun","list"
"lipu","noun","flat and bendable thing"
"loje","mod","reddish"
"loje","mod","ruddy"
"loje","mod","pink"
"loje","mod","pinkish"
"loje","mod","gingery"
"loje","noun","red"
"lon","mod","true"
"lon","mod","existing"
"lon","mod","correct"
"lon","mod","real"
"lon","mod","genuine"
"lon","noun","existence"
"lon","noun","being"
"lon","noun","presence"
"lon","preposition","be (located) in/at/on"
"lon","verb intransitive","to be there"
"lon","verb intransitive","to be present"
"lon","verb intransitive","to be real/true"
"lon","verb intransitive","to exist"
"lon","verb transitive","to give birth"
"lon","verb transitive","to create"
"luka","mod","tangible"
"luka","mod","palpable"
"luka","noun","arm"
"luka","noun","hand"
"luka","noun","tacticle organ"
"lukin","mod","visual(ly)"
"lukin","noun","view"
"lukin","noun","look"
"lukin","noun","glance"
"lukin","noun","sight"
"lukin","noun","gaze"
"lukin","noun","glimpse"
"lukin","noun","seeing"
"lukin","noun","vision"
"lukin","verb intransitive","to look"
"lukin","verb intransitive","to watch out"
"lukin","verb intransitive","to pay attention"
"lukin","verb transitive","to see"
"lukin","verb transitive","to look at"
"lukin","verb transitive","to watch"
"lukin","verb transitive","to read"
"lupa","mod","hole-"
"lupa","mod","holey"
"lupa","mod","full of holes"
"lupa","noun","hole"
"lupa","noun","orifice"
"lupa","noun","door"
"lupa","noun","window"
"lupa","verb transitive","to pierce"
"lupa","verb transitive","to stab"
"lupa","verb transitive","to perforate"
"ma","mod","countrified"
"ma","mod","outdoor"
"ma","mod","alfresco"
"ma","mod","open-air"
"ma","noun","land"
"ma","noun","earth"
"ma","noun","country"
"ma","noun","(outdoor) area"
"mama","mod","of the parent"
"mama","mod","parental"
"mama","mod","maternal"
"mama","mod","fatherly"
"mama","mod","motherly"
"mama","mod","mumsy"
"mama","noun","parent"
"mama","noun","mother"
"mama","noun","father"
"mama","verb transitive","to mother sb."
"mama","verb transitive","to wet-nurse"
"mama","verb transitive","mothering"
"mani","mod","financial"
"mani","mod","financially"
"mani","mod","monetary"
"mani","mod","pecuniary"
"mani","noun","money"
"mani","noun","material wealth"
"mani","noun","currency"
"mani","noun","dollar"
"mani","noun","capital"
"meli","mod","female"
"meli","mod","feminine"
"meli","mod","womanly"
"meli","noun","woman"
"meli","noun","female"
"meli","noun","girl"
"meli","noun","wife"
"meli","noun","girlfriend"
"mi","noun","I"
"mi","noun","we"
"mi","mod","my"
"mi","mod","our"
"mije","mod","male"
"mije","mod","masculine"
"mije","mod","manly"
"mije","noun","man"
"mije","noun","male"
"mije","noun","husband"
"mije","noun","boyfriend"
"moku","mod","eating"
"moku","noun","food"
"moku","noun","meal"
"moku","verb transitive","to eat"
"moku","verb transitive","to drink"
"moku","verb transitive","to swallow"
"moku","verb transitive","to ingest"
"moku","verb transitive","to consume"
"moli","mod","dead"
"moli","mod","dying"
"moli","mod","fatal"
"moli","mod","deadly"
"moli","mod","lethal"
"moli","mod","mortal"
"moli","mod","deathly"
"moli","mod","killing"
"moli","noun","death"
"moli","noun","decease"
"moli","verb intransitive","to die"
"moli","verb intransitive","to be dead"
"moli","verb transitive","to kill"
"monsi","mod","back"
"monsi","mod","rear"
"monsi","noun","back"
"monsi","noun","rear end"
"monsi","noun","butt"
"monsi","noun","behind"
"monsuta","mod","(unofficial): fearful"
"monsuta","mod","afraid"
"monsuta","noun","(unofficial): monster"
"monsuta","noun","monstrosity"
"monsuta","noun","fearful thing"
"monsuta","noun","fright"
"monsuta","noun","mythical creatures"
"monsuta","noun","fear"
"mu","mod","animal nois-"
"mu","interjection","woof"
"mu","interjection","meow"
"mu","interjection","moo"
"mu","interjection","etc. (cute animal noise)"
"mu","noun","animal noise"
"mu","verb intransitive","to communicate animally"
"mu","verb transitive","to make animal noise"
"mun","mod","lunar"
"mun","noun","moon"
"mun","noun","lunar"
"mun","noun","night sky object"
"mun","noun","star"
"musi","mod","artful"
"musi","mod","fun"
"musi","mod","recreational"
"musi","noun","fun"
"musi","noun","playing"
"musi","noun","game"
"musi","noun","recreation"
"musi","noun","art"
"musi","noun","entertainment"
"musi","verb intransitive","to play"
"musi","verb intransitive","to have fun"
"musi","verb transitive","to amuse"
"musi","verb transitive","to entertain"
"mute","mod","many"
"mute","mod","very"
"mute","mod","much"
"mute","mod","several"
"mute","mod","a lot"
"mute","mod","abundant"
"mute","mod","numerous"
"mute","mod","more"
"mute","noun","amount"
"mute","noun","quantity"
"mute","verb transitive","to make many or much"
"namako","mod","spicy"
"namako","mod","piquant"
"namako","noun","spice"
"namako","noun","something extra"
"namako","noun","food additive"
"namako","noun","accessory"
"namako","verb transitive","to spice"
"namako","verb transitive","to flavor"
"namako","verb transitive","to decorate"
"nanpa","number","To build ordinal numbers."
"nanpa","noun","number"
"nanpa","noun","numeral"
"nanpa","verb transitive","to count"
"nanpa","verb transitive","to reckon"
"nanpa","verb transitive","to number"
"nasa","mod","silly"
"nasa","mod","crazy"
"nasa","mod","foolish"
"nasa","mod","drunk"
"nasa","mod","strange"
"nasa","mod","stupid"
"nasa","mod","weird"
"nasa","noun","stupidity"
"nasa","noun","foolishness"
"nasa","noun","silliness"
"nasa","noun","nonsense"
"nasa","noun","idiocy"
"nasa","noun","obtuseness"
"nasa","noun","muddler"
"nasa","verb transitive","to drive crazy"
"nasa","verb transitive","to make weird"
"nasin","mod","systematic"
"nasin","mod","habitual"
"nasin","mod","customary"
"nasin","mod","doctrinal"
"nasin","noun","way"
"nasin","noun","manner"
"nasin","noun","custom"
"nasin","noun","road"
"nasin","noun","path"
"nasin","noun","doctrine"
"nasin","noun","system"
"nasin","noun","method"
"nena","mod","hilly"
"nena","mod","undulating"
"nena","mod","mountainous"
"nena","mod","hunchbacked"
"nena","mod","humpbacked"
"nena","mod","bumpy"
"nena","noun","bump"
"nena","noun","hill"
"nena","noun","extrusion"
"nena","noun","button"
"nena","noun","mountain"
"nena","noun","nose"
"nena","noun","protuberance"
"ni","noun","this"
"ni","noun","that"
"nimi","noun","word"
"nimi","noun","name"
"nimi","verb transitive","to name"
"noka","mod","foot-"
"noka","mod","lower"
"noka","mod","bottom"
"noka","noun","leg"
"noka","noun","foot"
"noka","noun","organ of locomotion"
"noka","noun","bottom"
"noka","noun","lower part"
"o","interjection","hey"
"o","interjection","(calling somebody's attention)"
"o","particle","An 'o' is used for imperative (commands). 'o' replace the subject. "
"oko","mod","optical"
"oko","mod","eye-"
"oko","noun","eye"
"olin","mod","love"
"olin","noun","love"
"olin","verb transitive","to love (a person)"
"ona","noun","she"
"ona","noun","he"
"ona","noun","it"
"ona","noun","they"
"ona","mod","her"
"ona","mod","his"
"ona","mod","its"
"open","mod","initial"
"open","mod","starting"
"open","mod","opening"
"open","noun","start"
"open","noun","beginning"
"open","noun","opening"
"open","verb transitive","to open"
"open","verb transitive","to start"
"open","verb transitive","to begin"
"open","verb transitive","to turn on"
"pakala","mod","destroyed"
"pakala","mod","ruined"
"pakala","mod","demolished"
"pakala","mod","shattered"
"pakala","mod","wrecked"
"pakala","interjection","damn"
"pakala","interjection","fuck"
"pakala","noun","blunder"
"pakala","noun","accident"
"pakala","noun","mistake"
"pakala","noun","destruction"
"pakala","noun","damage"
"pakala","noun","breaking"
"pakala","verb intransitive","to screw up"
"pakala","verb intransitive","to fall apart"
"pakala","verb intransitive","to break"
"pakala","verb transitive","to screw up"
"pakala","verb transitive","to ruin"
"pakala","verb transitive","to break"
"pakala","verb transitive","to hurt"
"pakala","verb transitive","to injure"
"pakala","verb transitive","to damage"
"pali","mod","active"
"pali","mod","work-related"
"pali","mod","operating"
"pali","mod","working"
"pali","noun","activity"
"pali","noun","work"
"pali","noun","deed"
"pali","noun","project"
"pali","verb intransitive","to act"
"pali","verb intransitive","to work"
"pali","verb intransitive","to function"
"pali","verb transitive","to do"
"pali","verb transitive","to make"
"pali","verb transitive","to build"
"pali","verb transitive","to create"
"palisa","mod","long"
"palisa","noun","long hard thing"
"palisa","noun","branch"
"palisa","noun","rod"
"palisa","noun","stick"
"palisa","noun","pointy thing"
"palisa","verb transitive","to stretch"
"palisa","verb transitive","to beat"
"palisa","verb transitive","to poke"
"palisa","verb transitive","to stab"
"palisa","verb transitive","to sexually arouse"
"pan","noun","cereal"
"pan","noun","grain"
"pan","noun","barley"
"pan","noun","corn"
"pan","noun","oat"
"pan","noun","rice"
"pan","noun","wheat"
"pan","noun","bread"
"pan","noun","pasta"
"pan","verb transitive","to sow"
"pana","mod","generous"
"pana","noun","giving"
"pana","noun","transfer"
"pana","noun","exchange"
"pana","verb transitive","to give"
"pana","verb transitive","to put"
"pana","verb transitive","to send"
"pana","verb transitive","to place"
"pana","verb transitive","to release"
"pana","verb transitive","to emit"
"pana","verb transitive","to cause"
"pi","particle","'pi' is used to build complex compound nouns. 'pi' separates a (pro)noun from another (pro)noun that has at least one adjective. After 'pi' could only be a noun or pronoun. Don't use 'pi' before or after the other separators 'e', 'la', 'li', 'o', '.', '!', '?', ':'. "
"pilin","mod","sensitive"
"pilin","mod","feeling"
"pilin","mod","empathic"
"pilin","noun","feelings"
"pilin","noun","emotion"
"pilin","noun","feel"
"pilin","noun","think"
"pilin","noun","sense"
"pilin","noun","touch"
"pilin","verb intransitive","to feel"
"pilin","verb intransitive","to sense"
"pilin","verb transitive","to feel"
"pilin","verb transitive","to think"
"pilin","verb transitive","to touch"
"pilin","verb transitive","to fumble"
"pilin","verb transitive","to fiddle"
"pimeja","mod","black"
"pimeja","mod","dark"
"pimeja","noun","darkness"
"pimeja","noun","shadows"
"pimeja","verb transitive","to darken"
"pini","mod","completed"
"pini","mod","finished"
"pini","mod","past"
"pini","mod","done"
"pini","noun","end"
"pini","noun","tip"
"pini","verb transitive","to end"
"pini","verb transitive","to stop"
"pini","verb transitive","to turn off"
"pini","verb transitive","to finish"
"pini","verb transitive","to close"
"pipi","noun","bug"
"pipi","noun","insect"
"pipi","noun","spider"
"poka","mod","neighbouring"
"poka","noun","side"
"poka","noun","hip"
"poka","noun","next to"
"poki","noun","container"
"poki","noun","box"
"poki","noun","bowl"
"poki","noun","cup"
"poki","noun","glass"
"poki","verb transitive","to box up"
"poki","verb transitive","to put in"
"poki","verb transitive","to can"
"poki","verb transitive","to bottle"
"pona","mod","good"
"pona","mod","simple"
"pona","mod","positive"
"pona","mod","nice"
"pona","mod","correct"
"pona","mod","right"
"pona","interjection","great"
"pona","interjection","good"
"pona","interjection","thanks"
"pona","interjection","OK"
"pona","interjection","cool"
"pona","interjection","yay"
"pona","noun","good"
"pona","noun","simplicity"
"pona","noun","positivity"
"pona","verb transitive","to improve"
"pona","verb transitive","to fix"
"pona","verb transitive","to repair"
"pona","verb transitive","to make good"
"pu","mod","buying and interacting with the official Toki Pona book"
"pu","noun","buying and interacting with the official Toki Pona book"
"pu","verb intransitive","to buy and to read (the official Toki Pona book)"
"pu","verb transitive","to apply (the official Toki Pona book) to"
"sama","mod","same"
"sama","mod","similar"
"sama","mod","equal"
"sama","mod","of equal status or position"
"sama","noun","equality"
"sama","noun","parity"
"sama","noun","equity"
"sama","noun","identity"
"sama","noun","par"
"sama","noun","sameness"
"sama","preposition","like"
"sama","preposition","as"
"sama","preposition","seem"
"sama","verb transitive","to equate"
"sama","verb transitive","to make equal"
"sama","verb transitive","to make similar to"
"seli","mod","hot"
"seli","mod","warm"
"seli","mod","cooked"
"seli","noun","fire"
"seli","noun","warmth"
"seli","noun","heat"
"seli","verb transitive","to heat"
"seli","verb transitive","to warm up"
"seli","verb transitive","to cook"
"selo","noun","skin"
"selo","noun","outer form"
"selo","noun","bark"
"selo","noun","peel"
"selo","noun","shell"
"selo","noun","skin"
"selo","noun","boundary"
"selo","noun","shape"
"selo","verb transitive","to shelter"
"selo","verb transitive","to protect"
"selo","verb transitive","to guard"
"seme","particle","what, which, wh- (question word) "
"sewi","mod","superior"
"sewi","mod","elevated"
"sewi","mod","religious"
"sewi","mod","formal"
"sewi","noun","high"
"sewi","noun","up"
"sewi","noun","above"
"sewi","noun","top"
"sewi","noun","over"
"sewi","noun","on"
"sewi","verb intransitive","to get up"
"sewi","verb transitive","to lift"
"sijelo","mod","physical"
"sijelo","mod","bodily"
"sijelo","mod","corporal"
"sijelo","mod","corporeal"
"sijelo","mod","material"
"sijelo","mod","carnal"
"sijelo","noun","body (of person or animal)"
"sijelo","noun","physical state"
"sijelo","noun","torso"
"sijelo","verb transitive","to heal"
"sijelo","verb transitive","to heal up"
"sijelo","verb transitive","to cure"
"sike","mod","round"
"sike","mod","cyclical"
"sike","mod","of one year"
"sike","noun","circle"
"sike","noun","ball"
"sike","noun","cycle"
"sike","noun","sphere"
"sike","noun","wheel"
"sike","noun","round or circular thing"
"sike","verb transitive","to orbit"
"sike","verb transitive","to circle"
"sike","verb transitive","to revolve"
"sike","verb transitive","to circle around"
"sike","verb transitive","to rotate"
"sin","mod","new"
"sin","mod","fresh"
"sin","mod","another"
"sin","mod","more"
"sin","noun","news"
"sin","noun","novelty"
"sin","noun","innovation"
"sin","noun","newness"
"sin","noun","new release"
"sin","verb transitive","to renew"
"sin","verb transitive","to renovate"
"sin","verb transitive","to freshen"
"sina","noun","you"
"sina","mod","yours"
"sinpin","mod","facial"
"sinpin","mod","frontal"
"sinpin","mod","anterior"
"sinpin","mod","vertical"
"sinpin","noun","face"
"sinpin","noun","foremost"
"sinpin","noun","front"
"sinpin","noun","wall"
"sinpin","noun","chest"
"sinpin","noun","torso"
"sitelen","mod","figurative"
"sitelen","mod","pictorial"
"sitelen","mod","metaphorical"
"sitelen","noun","picture"
"sitelen","noun","image"
"sitelen","noun","representation"
"sitelen","noun","symbol"
"sitelen","noun","mark"
"sitelen","noun","writing"
"sitelen","verb transitive","to draw"
"sitelen","verb transitive","to write"
"sona","mod","knowing"
"sona","mod","cognizant"
"sona","mod","shrewd"
"sona","noun","knowledge"
"sona","noun","wisdom"
"sona","noun","intelligence"
"sona","noun","understanding"
"sona","verb intransitive","to know"
"sona","verb intransitive","to understand"
"sona","verb transitive","to know"
"sona","verb transitive","to understand"
"sona","verb transitive","to know how to"
"soweli","mod","animal"
"soweli","noun","animal"
"soweli","noun","especially land mammal"
"soweli","noun","lovable animal"
"soweli","noun","beast"
"suli","mod","big"
"suli","mod","tall"
"suli","mod","long"
"suli","mod","adult"
"suli","mod","important"
"suli","noun","size"
"suli","verb transitive","to enlarge"
"suli","verb transitive","to lengthen"
"suno","mod","sunny"
"suno","mod","sunnily"
"suno","noun","sun"
"suno","noun","light"
"suno","verb transitive","to light"
"suno","verb transitive","to illumine"
"supa","mod","flat"
"supa","mod","shallow"
"supa","mod","flat-bottomed"
"supa","mod","horizontal"
"supa","noun","horizontal surface"
"supa","noun","e.g furniture"
"supa","noun","table"
"supa","noun","chair"
"supa","noun","pillow"
"supa","noun","floor"
"suwi","mod","sweet"
"suwi","mod","cute"
"suwi","noun","candy"
"suwi","noun","sweet food"
"suwi","verb transitive","to sweeten"
"tan","mod","causal"
"tan","noun","origin"
"tan","noun","cause"
"tan","preposition","from"
"tan","preposition","by"
"tan","preposition","because of"
"tan","preposition","since"
"tan","verb intransitive","to come from"
"tan","verb intransitive","originate from"
"tan","verb intransitive","come out of"
"taso","mod","only"
"taso","mod","sole"
"taso","conjunction","but"
"taso","conjunction","however"
"tawa","mod","moving"
"tawa","mod","mobile"
"tawa","noun","movement"
"tawa","noun","transportation"
"tawa","preposition","to"
"tawa","preposition","in order to"
"tawa","preposition","towards"
"tawa","preposition","for"
"tawa","preposition","until"
"tawa","verb intransitive","to walk"
"tawa","verb intransitive","to travel"
"tawa","verb intransitive","to move"
"tawa","verb intransitive","to leave"
"tawa","verb intransitive","to visit"
"tawa","verb transitive","to move"
"tawa","verb transitive","to displace"
"telo","mod","wet"
"telo","mod","slobbery"
"telo","mod","moist"
"telo","mod","damp"
"telo","mod","humid"
"telo","mod","sticky"
"telo","mod","sweaty"
"telo","mod","dewy"
"telo","mod","drizzly"
"telo","noun","water"
"telo","noun","liquid"
"telo","noun","juice"
"telo","noun","sauce"
"telo","verb transitive","to water"
"telo","verb transitive","to wash with water"
"telo","verb transitive","to put water to"
"telo","verb transitive","to melt"
"telo","verb transitive","to liquify"
"tenpo","mod","temporal"
"tenpo","mod","chronological"
"tenpo","mod","chronologic"
"tenpo","noun","time"
"tenpo","noun","period of time"
"tenpo","noun","moment"
"tenpo","noun","duration"
"tenpo","noun","situation"
"tenpo","noun","occasion"
"toki","mod","speaking"
"toki","mod","eloquent"
"toki","mod","linguistic"
"toki","mod","verbal"
"toki","mod","grammatical"
"toki","interjection","hello"
"toki","interjection","hi"
"toki","interjection","good morning"
"toki","noun","language"
"toki","noun","speech"
"toki","noun","tongue"
"toki","noun","lingo"
"toki","noun","jargon"
"toki","verb intransitive","to talk"
"toki","verb intransitive","to chat"
"toki","verb intransitive","to communicate"
"toki","verb transitive","to speak"
"toki","verb transitive","to talk"
"toki","verb transitive","to say"
"toki","verb transitive","to pronounce"
"toki","verb transitive","to discourse"
"tomo","mod","urban"
"tomo","mod","domestic"
"tomo","mod","household"
"tomo","noun","indoor constructed space"
"tomo","noun","e.g. house"
"tomo","noun","home"
"tomo","noun","room"
"tomo","noun","building"
